name,teamID,lgID,divID,Park,yearID,SUM(G),SUM(W),SUM(L),SUM(R),SUM(RA),PredictedWin,WError,Wpct,WpctExp,PctError
Texas Rangers,TEX,AL,W,Arlington Stadium,1984,161,69,92,656,714,73.6961,-4.6961,0.4286,0.4577,-0.0292
Philadelphia Phillies,PHI,NL,NA,Shibe Park,1951,154,73,81,648,644,77.4768,-4.4768,0.474,0.5031,-0.0291
Colorado Rockies,COL,NL,W,Coors Field,2004,162,68,94,833,923,72.7188,-4.7188,0.4198,0.4489,-0.0291
Chicago White Sox,CHA,AL,C,Comiskey Park II,1995,145,68,76,755,758,72.2125,-4.2125,0.469,0.498,-0.0291
Washington Senators,WS1,AL,NA,Griffith Stadium II,1959,154,63,91,619,701,67.4701,-4.4701,0.4091,0.4381,-0.029
St. Louis Cardinals,SLN,NL,E,Busch Stadium II,1970,162,76,86,744,747,80.674,-4.674,0.4691,0.498,-0.0289
New York Mets,NYN,NL,E,Shea Stadium,1978,162,66,96,607,690,70.6753,-4.6753,0.4074,0.4363,-0.0289
Chicago White Sox,CHA,AL,W,Comiskey Park,1971,162,79,83,617,597,83.6681,-4.6681,0.4877,0.5165,-0.0288
Chicago White Sox,CHA,AL,NA,Comiskey Park,1951,155,81,73,714,644,85.4685,-4.4685,0.5226,0.5514,-0.0288
St. Louis Cardinals,SLN,NL,E,Busch Stadium II,1978,162,69,93,600,657,73.669,-4.669,0.4259,0.4547,-0.0288
Chicago White Sox,CHA,AL,NA,Comiskey Park,1957,155,90,64,707,566,94.46,-4.46,0.5806,0.6094,-0.0288
Oakland Athletics,OAK,AL,W,Oakland-Alameda Country Coliseum,2010,162,81,81,663,626,85.6463,-4.6463,0.5,0.5287,-0.0287
Boston Red Sox,BOS,AL,E,Fenway Park II,1987,162,78,84,842,825,82.6519,-4.6519,0.4815,0.5102,-0.0287
California Angels,CAL,AL,W,Anaheim Stadium,1977,162,74,88,675,695,78.6355,-4.6355,0.4568,0.4854,-0.0286
Kansas City Royals,KCA,AL,W,Royals Stadium,1974,162,77,85,667,662,81.6095,-4.6095,0.4753,0.5038,-0.0285
New York Mets,NYN,NL,E,Shea Stadium,2004,162,71,91,684,731,75.625,-4.625,0.4383,0.4668,-0.0285
Los Angeles Dodgers,LAN,NL,W,Dodger Stadium,1999,162,77,85,793,787,81.6152,-4.6152,0.4753,0.5038,-0.0285
Cincinnati Reds,CIN,NL,C,Great American Ball Park,2013,162,90,72,698,589,94.6226,-4.6226,0.5556,0.5841,-0.0285
Boston Red Sox,BOS,AL,E,Fenway Park II,1976,162,83,79,716,660,87.5821,-4.5821,0.5123,0.5406,-0.0283
Cincinnati Reds,CIN,NL,W,Riverfront Stadium,1982,162,61,101,545,661,65.5607,-4.5607,0.3765,0.4047,-0.0282
Montreal Expos,MON,NL,E,Stade Olympique,1995,144,66,78,621,638,70.056,-4.056,0.4583,0.4865,-0.0282
Cleveland Indians,CLE,AL,C,Jacobs Field,2005,162,93,69,790,642,97.5661,-4.5661,0.5741,0.6023,-0.0282
Cleveland Indians,CLE,AL,C,Jacobs Field,2008,162,81,81,805,761,85.5481,-4.5481,0.5,0.5281,-0.0281
Houston Astros,HOU,NL,C,Minute Maid Park,2011,162,56,106,615,796,60.5554,-4.5554,0.3457,0.3738,-0.0281
Houston Astros,HOU,NL,W,Astrodome,1971,162,79,83,585,567,83.5306,-4.5306,0.4877,0.5156,-0.028
New York Yankees,NYA,AL,E,Yankee Stadium II,2007,162,94,68,968,777,98.5219,-4.5219,0.5802,0.6082,-0.0279
California Angels,CAL,AL,W,Anaheim Stadium,1980,160,65,95,698,797,69.4509,-4.4509,0.4063,0.4341,-0.0278
Oakland Athletics,OAK,AL,W,Oakland Coliseum,1976,161,87,74,686,598,91.4827,-4.4827,0.5404,0.5682,-0.0278
Kansas City Royals,KCA,AL,W,Municipal Stadium II,1970,162,65,97,611,705,69.4873,-4.4873,0.4012,0.4289,-0.0277
Los Angeles Dodgers,LAN,NL,W,Dodger Stadium,1979,162,79,83,739,717,83.4472,-4.4472,0.4877,0.5151,-0.0275
Pittsburgh Pirates,PIT,NL,NA,Forbes Field,1956,157,66,88,588,653,70.2993,-4.2993,0.4204,0.4478,-0.0274
Boston Red Sox,BOS,AL,E,Fenway Park II,2012,162,69,93,734,806,73.4425,-4.4425,0.4259,0.4533,-0.0274
Boston Red Sox,BOS,AL,NA,Fenway Park II,1955,154,84,70,755,652,88.2135,-4.2135,0.5455,0.5728,-0.0274
New York Mets,NYN,NL,E,Shea Stadium,1979,163,63,99,593,706,67.4271,-4.4271,0.3865,0.4137,-0.0272
Milwaukee Brewers,ML4,AL,E,County Stadium,1973,162,74,88,708,731,78.4114,-4.4114,0.4568,0.484,-0.0272
Pittsburgh Pirates,PIT,NL,C,Three Rivers Stadium,1998,163,69,93,650,718,73.4176,-4.4176,0.4233,0.4504,-0.0271
Cleveland Indians,CLE,AL,C,Jacobs Field,2003,162,68,94,699,778,72.3599,-4.3599,0.4198,0.4467,-0.0269
Pittsburgh Pirates,PIT,NL,NA,Forbes Field,1961,154,75,79,694,675,79.1369,-4.1369,0.487,0.5139,-0.0269
Pittsburgh Pirates,PIT,NL,NA,Forbes Field,1964,162,80,82,663,636,84.3658,-4.3658,0.4938,0.5208,-0.0269
Minnesota Twins,MIN,AL,NA,Metropolitan Stadium,1968,162,79,83,562,546,83.3389,-4.3389,0.4877,0.5144,-0.0268
Milwaukee Braves,ML1,NL,NA,County Stadium,1959,157,86,70,724,623,90.2063,-4.2063,0.5478,0.5746,-0.0268
Arizona Diamondbacks,ARI,NL,W,Chase Field,2009,162,70,92,720,782,74.3243,-4.3243,0.4321,0.4588,-0.0267
Chicago White Sox,CHA,AL,W,Comiskey Park,1970,162,56,106,633,822,60.3059,-4.3059,0.3457,0.3723,-0.0266
Minnesota Twins,MIN,AL,C,Target Field,2014,162,70,92,715,777,74.2797,-4.2797,0.4321,0.4585,-0.0264
Los Angeles Dodgers,LAN,NL,W,Dodger Stadium,1997,162,88,74,742,645,92.2743,-4.2743,0.5432,0.5696,-0.0264
New York Yankees,NYA,AL,NA,Yankee Stadium I,1953,151,99,52,801,547,102.977,-3.977,0.6556,0.682,-0.0263
Pittsburgh Pirates,PIT,NL,E,Three Rivers Stadium,1972,155,96,59,691,512,100.0636,-4.0636,0.6194,0.6456,-0.0262
Houston Astros,HOU,AL,W,Minute Maid Park,2013,162,51,111,610,848,55.2419,-4.2419,0.3148,0.341,-0.0262
Atlanta Braves,ATL,NL,E,Turner Field,1997,162,101,61,791,581,105.2283,-4.2283,0.6235,0.6496,-0.0261
Arizona Diamondbacks,ARI,NL,W,Bank One Ballpark,1999,162,100,62,908,676,104.229,-4.229,0.6173,0.6434,-0.0261
Cincinnati Reds,CIN,NL,NA,Crosley Field,1960,154,67,87,640,692,70.9971,-3.9971,0.4351,0.461,-0.026
Montreal Expos,MON,NL,E,Stade Olympique,1990,162,85,77,662,598,89.2074,-4.2074,0.5247,0.5507,-0.026
Chicago White Sox,CHA,AL,W,Comiskey Park,1987,162,77,85,748,746,81.2169,-4.2169,0.4753,0.5013,-0.026
Minnesota Twins,MIN,AL,C,Hubert H Humphrey Metrodome,1997,162,68,94,772,861,72.197,-4.197,0.4198,0.4457,-0.0259
San Francisco Giants,SFN,NL,W,Candlestick Park,1994,115,55,60,504,500,57.9582,-2.9582,0.4783,0.504,-0.0257
Pittsburgh Pirates,PIT,NL,NA,Forbes Field,1952,155,42,112,515,793,45.9804,-3.9804,0.271,0.2966,-0.0257
Kansas City Royals,KCA,AL,C,Kauffman Stadium,2007,162,69,93,706,778,73.1586,-4.1586,0.4259,0.4516,-0.0257
Chicago White Sox,CHA,AL,C,U.S. Cellular Field,2012,162,85,77,748,676,89.1701,-4.1701,0.5247,0.5504,-0.0257
Baltimore Orioles,BAL,AL,E,Oriole Park at Camden Yards,2004,162,78,84,842,830,82.1626,-4.1626,0.4815,0.5072,-0.0257
Chicago Cubs,CHN,NL,E,Wrigley Field,1982,162,73,89,676,709,77.1423,-4.1423,0.4506,0.4762,-0.0256
Chicago White Sox,CHA,AL,NA,Comiskey Park,1960,154,87,67,741,617,90.9456,-3.9456,0.5649,0.5906,-0.0256
Arizona Diamondbacks,ARI,NL,W,Bank One Ballpark,2001,162,92,70,818,677,96.1442,-4.1442,0.5679,0.5935,-0.0256
Seattle Mariners,SEA,AL,W,Kingdome,1989,162,73,89,694,728,77.1288,-4.1288,0.4506,0.4761,-0.0255
Chicago White Sox,CHN,NL,C,U.S. Cellular Field,2013,162,66,96,602,689,70.1322,-4.1322,0.4074,0.4329,-0.0255
Colorado Rockies,COL,NL,W,Coors Field,2012,162,64,98,758,890,68.107,-4.107,0.3951,0.4204,-0.0254
New York Mets,NYN,NL,NA,Shea Stadium,1968,163,73,89,473,499,77.143,-4.143,0.4479,0.4733,-0.0254
Minnesota Twins,MIN,AL,W,Metropolitan Stadium,1971,160,74,86,654,670,78.0667,-4.0667,0.4625,0.4879,-0.0254
Pittsburgh Pirates,PIT,NL,C,PNC Park,2005,162,67,95,680,769,71.0871,-4.0871,0.4136,0.4388,-0.0252
Baltimore Orioles,BAL,AL,E,Oriole Park at Camden Yards,2008,161,68,93,782,869,72.0395,-4.0395,0.4224,0.4475,-0.0251
Milwaukee Braves,ML1,NL,NA,County Stadium,1953,157,92,62,738,589,95.909,-3.909,0.586,0.6109,-0.0249
Milwaukee Braves,ML1,NL,NA,County Stadium,1965,162,86,76,708,633,90.0322,-4.0322,0.5309,0.5558,-0.0249
New York Mets,NYN,NL,E,Shea Stadium,2002,161,75,86,690,703,78.9976,-3.9976,0.4658,0.4907,-0.0248
Cleveland Indians,CLE,AL,E,Cleveland Stadium,1978,159,69,90,639,694,72.9508,-3.9508,0.434,0.4588,-0.0248
Chicago White Sox,CHA,AL,C,Comiskey Park II,1994,113,67,46,633,498,69.7986,-2.7986,0.5929,0.6177,-0.0248
Detroit Tigers,DET,AL,E,Tiger Stadium,1994,115,53,62,652,671,55.8488,-2.8488,0.4609,0.4856,-0.0248
Toronto Blue Jays,TOR,AL,E,Rogers Centre,2007,162,83,79,753,699,87.0165,-4.0165,0.5123,0.5371,-0.0248
Anaheim Angels,ANA,AL,W,Edison International Field,2002,162,99,63,851,644,103.0088,-4.0088,0.6111,0.6359,-0.0247
New York Mets,NYN,NL,NA,Shea Stadium,1964,163,53,109,569,776,56.9942,-3.9942,0.3252,0.3497,-0.0245
Milwaukee Brewers,ML4,AL,E,County Stadium,1990,162,74,88,732,760,77.9609,-3.9609,0.4568,0.4812,-0.0244
San Francisco Giants,SFN,NL,NA,Candlestick Park,1960,156,79,75,671,631,82.7881,-3.7881,0.5064,0.5307,-0.0243
Seattle Mariners,SEA,AL,W,Kingdome,1992,162,64,98,679,799,67.9332,-3.9332,0.3951,0.4193,-0.0243
Tampa Bay Devil Rays,TBA,AL,E,Tropicana Field,2003,162,63,99,715,852,66.9441,-3.9441,0.3889,0.4132,-0.0243
Milwaukee Brewers,ML4,AL,E,County Stadium,1982,163,95,67,891,717,98.9339,-3.9339,0.5828,0.607,-0.0241
Kansas City Athletics,KC1,AL,NA,Municipal Stadium I,1960,155,58,96,615,756,61.7259,-3.7259,0.3742,0.3982,-0.024
Seattle Mariners,SEA,AL,W,Kingdome,1996,161,85,76,993,895,88.8345,-3.8345,0.528,0.5518,-0.0238
Chicago Cubs,CHN,NL,NA,Wrigley Field,1966,162,59,103,644,809,62.8378,-3.8378,0.3642,0.3879,-0.0237
Colorado Rockies,COL,NL,W,Coors Field,2011,162,73,89,735,774,76.8159,-3.8159,0.4506,0.4742,-0.0236
Kansas City Royals,KCA,AL,C,Kauffman Stadium,2002,162,62,100,737,891,65.8116,-3.8116,0.3827,0.4062,-0.0235
Houston Astros,HOU,NL,C,Astrodome,1995,144,76,68,747,674,79.3781,-3.3781,0.5278,0.5512,-0.0235
Texas Rangers,TEX,AL,W,Arlington Stadium,1979,162,83,79,750,698,86.8102,-3.8102,0.5123,0.5359,-0.0235
Chicago White Sox,CHA,AL,NA,Comiskey Park,1953,156,89,65,716,592,92.6573,-3.6573,0.5705,0.594,-0.0234
Pittsburgh Pirates,PIT,NL,E,Three Rivers Stadium,1974,162,88,74,751,657,91.7673,-3.7673,0.5432,0.5665,-0.0233
St. Louis Cardinals,SLN,NL,E,Busch Stadium II,1976,162,72,90,629,671,75.7716,-3.7716,0.4444,0.4677,-0.0233
Colorado Rockies,COL,NL,W,Coors Field,2010,162,83,79,770,717,86.7667,-3.7667,0.5123,0.5356,-0.0233
Milwaukee Brewers,ML4,AL,E,County Stadium,1991,162,83,79,799,744,86.7671,-3.7671,0.5123,0.5356,-0.0233
Pittsburgh Pirates,PIT,NL,NA,Forbes Field,1965,163,90,72,675,580,93.7683,-3.7683,0.5521,0.5753,-0.0231
Detroit Tigers,DET,AL,C,Comerica Park,2003,162,43,119,591,928,46.7453,-3.7453,0.2654,0.2886,-0.0231
Oakland Athletics,OAK,AL,W,Oakland Coliseum,2001,162,102,60,884,645,105.7185,-3.7185,0.6296,0.6526,-0.023
St. Louis Cardinals,SLN,NL,C,Busch Stadium II,2003,162,85,77,876,796,88.7335,-3.7335,0.5247,0.5477,-0.023
Seattle Mariners,SEA,AL,W,Kingdome,1994,112,49,63,569,616,51.5648,-2.5648,0.4375,0.4604,-0.0229
Baltimore Orioles,BAL,AL,E,Memorial Stadium,1971,158,101,57,742,530,104.6216,-3.6216,0.6392,0.6622,-0.0229
Boston Red Sox,BOS,AL,E,Fenway Park II,1998,162,92,70,876,729,95.714,-3.714,0.5679,0.5908,-0.0229
Oakland Athletics,OAK,AL,W,Oakland Coliseum,1973,162,94,68,758,615,97.6915,-3.6915,0.5802,0.603,-0.0228
Cincinnati Reds,CIN,NL,C,Great American Ball Park,2011,162,79,83,735,720,82.6699,-3.6699,0.4877,0.5103,-0.0227
Milwaukee Brewers,MIL,NL,C,Miller Park,2002,162,56,106,627,821,59.6783,-3.6783,0.3457,0.3684,-0.0227
San Francisco Giants,SFN,NL,W,Candlestick Park,1987,162,90,72,783,669,93.6411,-3.6411,0.5556,0.578,-0.0225
Houston Astros,HOU,NL,W,Astrodome,1977,162,81,81,680,650,84.6523,-3.6523,0.5,0.5225,-0.0225
Montreal Expos,MON,NL,E,Stade Olympique,1984,161,78,83,593,585,81.5933,-3.5933,0.4845,0.5068,-0.0223
Detroit Tigers,DET,AL,NA,Tiger Stadium,1968,164,103,59,671,492,106.6575,-3.6575,0.628,0.6504,-0.0223
Los Angeles Dodgers,LAN,NL,NA,Los Angeles Memorial Coliseum,1960,154,82,72,662,593,85.4414,-3.4414,0.5325,0.5548,-0.0223
San Francisco Giants,SFN,NL,W,Candlestick Park,1985,162,62,100,556,674,65.6003,-3.6003,0.3827,0.4049,-0.0222
New York Yankees,NYA,AL,E,Yankee Stadium II,1992,162,76,86,733,746,79.5762,-3.5762,0.4691,0.4912,-0.0221
Atlanta Braves,ATL,NL,W,Atlanta-Fulton County Stadium,1979,160,66,94,669,763,69.5423,-3.5423,0.4125,0.4346,-0.0221
California Angels,CAL,AL,W,Anaheim Stadium,1982,162,93,69,814,670,96.573,-3.573,0.5741,0.5961,-0.0221
Texas Rangers,TEX,AL,W,The Ballpark at Arlington,1996,163,90,72,928,799,93.6079,-3.6079,0.5521,0.5743,-0.0221
Baltimore Orioles,BAL,AL,E,Oriole Park at Camden Yards,2009,162,64,98,741,876,67.5686,-3.5686,0.3951,0.4171,-0.022
Texas Rangers,TEX,AL,W,Rangers Ballpark in Arlington,2011,162,96,66,855,677,99.5717,-3.5717,0.5926,0.6146,-0.022
Texas Rangers,TEX,AL,W,Arlington Stadium,1993,162,86,76,835,751,89.5561,-3.5561,0.5309,0.5528,-0.022
St. Louis Cardinals,SLN,NL,E,Busch Stadium II,1977,162,83,79,737,688,86.5639,-3.5639,0.5123,0.5343,-0.022
Chicago White Sox,CHA,AL,NA,Comiskey Park,1968,162,67,95,463,527,70.5709,-3.5709,0.4136,0.4356,-0.022
San Francisco Giants,SFN,NL,NA,Candlestick Park,1968,163,88,74,599,529,91.5764,-3.5764,0.5399,0.5618,-0.0219
Atlanta Braves,ATL,NL,W,Atlanta-Fulton County Stadium,1988,160,54,106,555,741,57.5005,-3.5005,0.3375,0.3594,-0.0219
Detroit Tigers,DET,AL,C,Comerica Park,2008,162,74,88,821,857,77.526,-3.526,0.4568,0.4786,-0.0218
Pittsburgh Pirates,PIT,NL,C,PNC Park,2009,161,62,99,636,768,65.4959,-3.4959,0.3851,0.4068,-0.0217
Philadelphia Phillies,PHI,NL,E,Veterans Stadium,1999,162,77,85,841,846,80.5199,-3.5199,0.4753,0.497,-0.0217
Baltimore Orioles,BAL,AL,E,Oriole Park at Camden Yards,1994,112,63,49,589,497,65.4204,-2.4204,0.5625,0.5841,-0.0216
San Francisco Giants,SFN,NL,W,Candlestick Park,1988,162,83,79,670,626,86.4937,-3.4937,0.5123,0.5339,-0.0216
Toronto Blue Jays,TOR,AL,E,Exhibition Stadium,1986,163,86,76,809,733,89.5143,-3.5143,0.5276,0.5492,-0.0216
Chicago Cubs,CHN,NL,NA,Wrigley Field,1967,162,87,74,702,624,90.4966,-3.4966,0.537,0.5586,-0.0216
Minnesota Twins,MIN,AL,W,Metropolitan Stadium,1969,162,97,65,790,618,100.4988,-3.4988,0.5988,0.6204,-0.0216
San Francisco Giants,SFN,NL,NA,Candlestick Park,1967,162,91,71,652,551,94.5058,-3.5058,0.5617,0.5834,-0.0216
Texas Rangers,TEX,AL,W,Arlington Stadium,1987,162,75,87,823,849,78.4815,-3.4815,0.463,0.4845,-0.0215
Baltimore Orioles,BAL,AL,E,Memorial Stadium,1969,162,109,53,779,517,112.4641,-3.4641,0.6728,0.6942,-0.0214
Philadelphia Phillies,PHI,NL,NA,Shibe Park,1952,154,87,67,657,552,90.2746,-3.2746,0.5649,0.5862,-0.0213
Cleveland Indians,CLE,AL,E,Cleveland Stadium,1990,162,77,85,732,737,80.4486,-3.4486,0.4753,0.4966,-0.0213
Chicago Cubs,CHN,NL,NA,Wrigley Field,1958,154,72,82,709,725,75.2819,-3.2819,0.4675,0.4888,-0.0213
Philadelphia Phillies,PHI,NL,E,Veterans Stadium,1984,162,81,81,720,690,84.4452,-3.4452,0.5,0.5213,-0.0213
Arizona Diamondbacks,ARI,NL,W,Chase Field,2006,162,76,86,773,788,79.4434,-3.4434,0.4691,0.4904,-0.0213
New York Mets,NYN,NL,E,Citi Field,2014,162,79,83,629,618,82.4289,-3.4289,0.4877,0.5088,-0.0212
San Diego Padres,SDN,NL,W,Petco Park,2008,162,63,99,637,764,66.4345,-3.4345,0.3889,0.4101,-0.0212
Minnesota Twins,MIN,AL,W,Hubert H Humphrey Metrodome,1982,162,60,102,657,819,63.4312,-3.4312,0.3704,0.3916,-0.0212
Seattle Mariners,SEA,AL,W,Kingdome,1988,161,68,93,664,744,71.3817,-3.3817,0.4224,0.4434,-0.021
Milwaukee Brewers,ML4,AL,E,County Stadium,1976,161,66,95,570,655,69.3821,-3.3821,0.4099,0.4309,-0.021
New York Mets,NYN,NL,E,Shea Stadium,1971,162,83,79,588,550,86.4035,-3.4035,0.5123,0.5334,-0.021
Kansas City Royals,KCA,AL,W,Royals Stadium,1976,162,90,72,713,611,93.4067,-3.4067,0.5556,0.5766,-0.021
Milwaukee Brewers,ML4,AL,E,County Stadium,1974,162,76,86,647,660,79.3888,-3.3888,0.4691,0.4901,-0.0209
Colorado Rockies,COL,NL,W,Coors Field,2003,162,74,88,853,892,77.3812,-3.3812,0.4568,0.4777,-0.0209
Detroit Tigers,DET,AL,E,Tiger Stadium,1969,162,90,72,701,601,93.3694,-3.3694,0.5556,0.5764,-0.0208
Oakland Athletics,OAK,AL,W,Oakland Coliseum,1980,162,83,79,686,642,86.3616,-3.3616,0.5123,0.5331,-0.0208
Washington Senators,WS1,AL,NA,Griffith Stadium I,1955,154,53,101,598,789,56.1877,-3.1877,0.3442,0.3649,-0.0207
Chicago Cubs,CHN,NL,E,Wrigley Field,1980,162,64,98,614,728,67.337,-3.337,0.3951,0.4157,-0.0206
San Francisco Giants,SFN,NL,W,3Com Park,1998,163,89,74,845,739,92.3592,-3.3592,0.546,0.5666,-0.0206
San Francisco Giants,SFN,NL,W,AT&T Park,2010,162,92,70,697,583,95.3146,-3.3146,0.5679,0.5884,-0.0205
Cincinnati Reds,CIN,NL,C,Cinergy Field,2001,162,66,96,735,850,69.3076,-3.3076,0.4074,0.4278,-0.0204
Milwaukee Brewers,MIL,NL,C,Miller Park,2005,162,81,81,726,697,84.3001,-3.3001,0.5,0.5204,-0.0204
Montreal Expos,MON,NL,E,Stade Olympique,1983,163,82,80,677,646,85.3173,-3.3173,0.5031,0.5234,-0.0204
Toronto Blue Jays,TOR,AL,E,Exhibition Stadium,1988,162,87,75,763,680,90.2874,-3.2874,0.537,0.5573,-0.0203
New York Yankees,NYA,AL,NA,Yankee Stadium I,1959,155,79,75,687,647,82.1435,-3.1435,0.5097,0.53,-0.0203
Boston Braves,BSN,NL,NA,Braves Field,1952,155,64,89,569,651,67.1288,-3.1288,0.4129,0.4331,-0.0202
Milwaukee Brewers,ML4,AL,E,County Stadium,1989,162,81,81,707,679,84.2714,-3.2714,0.5,0.5202,-0.0202
Texas Rangers,TEX,AL,W,Rangers Ballpark in Arlington,2007,162,75,87,816,844,78.2682,-3.2682,0.463,0.4831,-0.0202
Washington Senators,WS2,AL,E,R.F.K. Stadium,1970,162,70,92,626,689,73.2566,-3.2566,0.4321,0.4522,-0.0201
Anaheim Angels,ANA,AL,W,Edison International Field,2003,162,77,85,736,743,80.2333,-3.2333,0.4753,0.4953,-0.02
Los Angeles Dodgers,LAN,NL,W,Dodger Stadium,2008,162,84,78,700,648,87.24,-3.24,0.5185,0.5385,-0.02
Minnesota Twins,MIN,AL,W,Metropolitan Stadium,1979,162,82,80,764,725,85.2402,-3.2402,0.5062,0.5262,-0.02
Arizona Diamondbacks,ARI,NL,W,Chase Field,2010,162,65,97,713,836,68.2168,-3.2168,0.4012,0.4211,-0.0199
Cleveland Indians,CLE,AL,C,Jacobs Field,2000,162,90,72,950,816,93.2218,-3.2218,0.5556,0.5754,-0.0199
Philadelphia Phillies,PHI,NL,E,Veterans Stadium,2000,162,65,97,708,830,68.2299,-3.2299,0.4012,0.4212,-0.0199
Chicago Cubs,CHN,NL,C,Wrigley Field,1994,113,49,64,500,549,51.2331,-2.2331,0.4336,0.4534,-0.0198
Houston Astros,HOU,NL,W,Astrodome,1978,162,74,88,605,634,77.2103,-3.2103,0.4568,0.4766,-0.0198
Philadelphia Phillies,PHI,NL,NA,Connie Mack Stadium,1967,162,82,80,612,581,85.2067,-3.2067,0.5062,0.526,-0.0198
Kansas City Royals,KCA,AL,W,Royals Stadium,1988,161,84,77,704,648,87.1572,-3.1572,0.5217,0.5413,-0.0196
Oakland Athletics,OAK,AL,W,McAfee Coliseum,2007,162,76,86,741,758,79.163,-3.163,0.4691,0.4887,-0.0195
Atlanta Braves,ATL,NL,W,Atlanta-Fulton County Stadium,1987,161,69,92,747,829,72.1457,-3.1457,0.4286,0.4481,-0.0195
Chicago White Sox,CHA,AL,C,U.S. Cellular Field,2003,162,86,76,791,715,89.1545,-3.1545,0.5309,0.5503,-0.0195
Detroit Tigers,DET,AL,C,Comerica Park,2005,162,71,91,723,787,74.1461,-3.1461,0.4383,0.4577,-0.0194
Oakland Athletics,OAK,AL,NA,Oakland Coliseum,1968,163,82,80,569,544,85.1594,-3.1594,0.5031,0.5225,-0.0194
New York Yankees,NYA,AL,E,Yankee Stadium III,2010,162,95,67,859,693,98.1313,-3.1313,0.5864,0.6057,-0.0193
Pittsburgh Pirates,PIT,NL,C,Three Rivers Stadium,1995,144,58,86,629,736,60.781,-2.781,0.4028,0.4221,-0.0193
Atlanta Braves,ATL,NL,E,Turner Field,2001,162,88,74,729,643,91.1148,-3.1148,0.5432,0.5624,-0.0192
Atlanta Braves,ATL,NL,E,Turner Field,2013,162,96,66,688,548,99.1171,-3.1171,0.5926,0.6118,-0.0192
Kansas City Athletics,KC1,AL,NA,Municipal Stadium I,1956,154,52,102,619,831,54.9554,-2.9554,0.3377,0.3569,-0.0192
Pittsburgh Pirates,PIT,NL,NA,Forbes Field,1963,162,74,88,567,595,77.0987,-3.0987,0.4568,0.4759,-0.0191
Los Angeles Dodgers,LAN,NL,W,Dodger Stadium,1987,162,73,89,635,675,76.058,-3.058,0.4506,0.4695,-0.0189
Houston Astros,HOU,NL,C,Minute Maid Park,2002,162,84,78,749,695,87.0497,-3.0497,0.5185,0.5373,-0.0188
Detroit Tigers,DET,AL,E,Tiger Stadium,1982,162,83,79,729,685,86.0361,-3.0361,0.5123,0.5311,-0.0187
Baltimore Orioles,BAL,AL,E,Memorial Stadium,1985,161,83,78,818,764,85.9892,-2.9892,0.5155,0.5341,-0.0186
New York Yankees,NYA,AL,NA,Yankee Stadium I,1955,154,96,58,762,569,98.8707,-2.8707,0.6234,0.642,-0.0186
New York Yankees,NYA,AL,NA,Yankee Stadium I,1956,154,97,57,857,631,99.8624,-2.8624,0.6299,0.6485,-0.0186
Baltimore Orioles,BAL,AL,E,Oriole Park at Camden Yards,2001,162,63,98,687,829,65.9578,-2.9578,0.3889,0.4071,-0.0183
Detroit Tigers,DET,AL,E,Tiger Stadium,1986,162,87,75,798,714,89.9723,-2.9723,0.537,0.5554,-0.0183
Los Angeles Dodgers,LAN,NL,W,Dodger Stadium,1986,162,73,89,638,679,75.9616,-2.9616,0.4506,0.4689,-0.0183
Chicago Cubs,CHN,NL,C,Wrigley Field,2007,162,85,77,752,690,87.9525,-2.9525,0.5247,0.5429,-0.0182
Houston Astros,HOU,NL,C,Minute Maid Park,2005,163,89,73,693,609,91.9725,-2.9725,0.546,0.5642,-0.0182
Los Angeles Dodgers,LAN,NL,NA,Dodger Stadium,1966,162,95,67,606,490,97.956,-2.956,0.5864,0.6047,-0.0182
Chicago Cubs,CHN,NL,C,Wrigley Field,2012,162,61,101,613,759,63.954,-2.954,0.3765,0.3948,-0.0182
Cincinnati Reds,CIN,NL,C,Cinergy Field,1998,162,77,85,750,760,79.9272,-2.9272,0.4753,0.4934,-0.0181
San Francisco Giants,SFN,NL,NA,Candlestick Park,1963,162,88,74,725,641,90.9244,-2.9244,0.5432,0.5613,-0.0181
New York Yankees,NYA,AL,E,Yankee Stadium I,1972,155,79,76,557,527,81.7864,-2.7864,0.5097,0.5277,-0.018
Detroit Tigers,DET,AL,E,Tiger Stadium,1977,162,74,88,714,751,76.9111,-2.9111,0.4568,0.4748,-0.018
Kansas City Royals,KCA,AL,C,Kauffman Stadium,2001,162,65,97,729,858,67.9182,-2.9182,0.4012,0.4192,-0.018
Cincinnati Reds,CIN,NL,NA,Crosley Field,1966,160,76,84,692,702,78.8523,-2.8523,0.475,0.4928,-0.0178
New York Yankees,NYA,AL,E,Yankee Stadium II,1984,162,87,75,758,679,89.8792,-2.8792,0.537,0.5548,-0.0178
Pittsburgh Pirates,PIT,NL,C,Three Rivers Stadium,2000,162,69,93,793,888,71.8739,-2.8739,0.4259,0.4437,-0.0177
Atlanta Braves,ATL,NL,NA,Atlanta-Fulton County Stadium,1967,162,77,85,631,640,79.8529,-2.8529,0.4753,0.4929,-0.0176
Oakland Athletics,OAK,AL,W,Oakland-Alameda Country Coliseum,2011,162,74,88,645,679,76.8426,-2.8426,0.4568,0.4743,-0.0175
Atlanta Braves,ATL,NL,E,Turner Field,2010,162,91,71,738,629,93.8357,-2.8357,0.5617,0.5792,-0.0175
Minnesota Twins,MIN,AL,NA,Metropolitan Stadium,1961,161,70,90,707,778,72.8199,-2.8199,0.4348,0.4523,-0.0175
